title,ingredients,directions,NER
Grilled Chicken & Broccoli Bowl,"2 chicken breasts|2 cups broccoli florets|2 tbsp olive oil|3 cloves garlic|1 tsp salt|0.5 tsp black pepper|1 cup brown rice","1. Cook brown rice per package instructions. 2. Season chicken with salt, pepper, and minced garlic. 3. Grill chicken 6 min per side until cooked through. 4. Steam broccoli 4 min. 5. Slice chicken and serve over rice with broccoli.","chicken breast|broccoli|olive oil|garlic|brown rice"
Salmon & Quinoa Power Bowl,"2 salmon fillets|1 cup quinoa|2 cups spinach|1 avocado|2 tbsp olive oil|1 lemon|salt|pepper","1. Cook quinoa in 2 cups water, 15 min. 2. Season salmon with salt, pepper, lemon juice. 3. Pan-sear salmon in olive oil 4 min per side. 4. Serve salmon over quinoa with spinach and sliced avocado.","salmon|quinoa|spinach|avocado|olive oil|lemon"
Turkey Taco Bowl,"400g ground turkey|1 can black beans|1 cup white rice|1 bell pepper|1 onion|2 tbsp olive oil|1 tsp cumin|1 tsp chili powder|salt|salsa","1. Cook rice. 2. Sauté onion and pepper in oil 5 min. 3. Add turkey, brown 8 min. 4. Season with cumin, chili powder, salt. 5. Serve over rice with beans and salsa.","ground turkey|black beans|white rice|bell pepper|onion|olive oil"
Veggie Stir Fry with Tofu,"400g firm tofu|2 cups broccoli|1 bell pepper|1 cup mushrooms|3 tbsp soy sauce|2 tbsp olive oil|3 cloves garlic|1 tsp ginger|1 cup white rice","1. Press and cube tofu, pan-fry until golden. 2. Cook rice. 3. Stir-fry vegetables with garlic and ginger. 4. Add tofu and soy sauce, toss 2 min. 5. Serve over rice.","tofu|broccoli|bell pepper|mushrooms|soy sauce|olive oil|garlic|white rice"
Beef & Sweet Potato Hash,"300g ground beef|2 sweet potatoes|1 onion|2 bell peppers|2 tbsp olive oil|1 tsp paprika|salt|pepper","1. Dice sweet potatoes, microwave 5 min. 2. Brown beef in skillet, drain fat. 3. Sauté onion and peppers in oil. 4. Add sweet potatoes and beef, season with paprika, salt, pepper. 5. Cook 5 min more.","ground beef|sweet potato|onion|bell pepper|olive oil"
Lemon Herb Tilapia,"4 tilapia fillets|2 lemons|3 tbsp olive oil|4 cloves garlic|1 tsp dried herbs|salt|pepper|2 cups broccoli","1. Preheat oven 400F. 2. Place tilapia in baking dish, drizzle with olive oil, lemon juice, garlic, herbs. 3. Bake 15-18 min. 4. Steam broccoli. 5. Serve tilapia with broccoli.","tilapia|lemon|olive oil|garlic|broccoli"
Chicken & Vegetable Soup,"2 chicken breasts|3 carrots|3 celery stalks|1 onion|3 cloves garlic|4 cups chicken broth|1 cup peas|salt|pepper|thyme","1. Sauté onion, carrots, celery in pot 5 min. 2. Add garlic, cook 1 min. 3. Add chicken, broth, thyme. 4. Simmer 20 min. 5. Remove chicken, shred, return to pot. 6. Add peas, cook 5 min.","chicken breast|carrot|celery|onion|garlic|peas"
Black Bean Tacos,"2 cans black beans|1 onion|2 bell peppers|2 tbsp olive oil|1 tsp cumin|1 tsp chili powder|8 corn tortillas|1 avocado|salsa","1. Sauté onion and peppers 5 min. 2. Add drained beans, cumin, chili powder. 3. Cook 8 min, mash slightly. 4. Serve in tortillas with avocado and salsa.","black beans|onion|bell pepper|olive oil|avocado|corn"
Greek Quinoa Salad,"1 cup quinoa|1 cucumber|2 tomatoes|0.5 red onion|100g feta cheese|0.25 cup olive oil|2 tbsp lemon juice|kalamata olives|fresh parsley","1. Cook and cool quinoa. 2. Dice cucumber, tomatoes, onion. 3. Combine all ingredients. 4. Dress with olive oil and lemon juice. 5. Toss and season.","quinoa|cucumber|tomato|onion|lemon|olive oil"
Shrimp Stir Fry,"400g shrimp|2 cups broccoli|1 cup snap peas|3 tbsp soy sauce|2 tbsp olive oil|3 cloves garlic|1 tsp ginger|1 cup white rice","1. Cook rice. 2. Stir-fry garlic and ginger in oil 1 min. 3. Add broccoli and peas, cook 4 min. 4. Add shrimp, cook 3 min. 5. Add soy sauce, toss, serve over rice.","shrimp|broccoli|peas|soy sauce|olive oil|garlic|white rice"
Overnight Oats,"1 cup oats|1 cup almond milk|0.5 cup greek yogurt|2 tbsp honey|1 banana|handful blueberries","1. Combine oats, almond milk, yogurt, honey in jar. 2. Stir well. 3. Refrigerate overnight. 4. Top with banana and blueberries before serving.","oats|almond milk|greek yogurt|honey"
Egg White Veggie Omelette,"4 egg whites|1 cup spinach|0.5 cup mushrooms|0.25 onion|0.25 bell pepper|1 tbsp olive oil|salt|pepper","1. Whisk egg whites with salt and pepper. 2. Sauté vegetables in oil 3 min. 3. Pour egg whites over vegetables. 4. Cook until set, fold and serve.","egg whites|spinach|mushrooms|onion|bell pepper|olive oil"
Chicken Caesar Salad,"2 chicken breasts|1 head romaine lettuce|50g parmesan|croutons|caesar dressing|2 tbsp olive oil|salt|pepper","1. Season and grill chicken. 2. Chop romaine. 3. Toss lettuce with dressing. 4. Slice chicken and place on salad. 5. Top with parmesan and croutons.","chicken breast|olive oil"
Lentil Dal,"1 cup red lentils|1 can tomatoes|1 onion|3 cloves garlic|2 tsp curry powder|1 tsp cumin|2 tbsp olive oil|coconut milk|salt|1 cup brown rice","1. Sauté onion and garlic 5 min. 2. Add curry powder and cumin, cook 1 min. 3. Add lentils, tomatoes, coconut milk, simmer 20 min. 4. Serve over rice.","lentils|tomato|onion|garlic|olive oil|brown rice|coconut oil"
Baked Salmon with Asparagus,"2 salmon fillets|1 bunch asparagus|2 tbsp olive oil|3 cloves garlic|1 lemon|salt|pepper|fresh dill","1. Preheat oven 425F. 2. Place salmon and asparagus on sheet pan. 3. Drizzle with olive oil, garlic, lemon juice. 4. Season with salt, pepper, dill. 5. Bake 15 min.","salmon|olive oil|garlic|lemon"
Tempeh Stir Fry,"300g tempeh|2 cups broccoli|1 cup snap peas|3 tbsp soy sauce|2 tbsp olive oil|3 cloves garlic|1 tbsp honey|1 cup quinoa","1. Cook quinoa. 2. Cube and pan-fry tempeh until golden. 3. Stir-fry vegetables with garlic. 4. Add tempeh, soy sauce, honey, toss 2 min. 5. Serve over quinoa.","tempeh|broccoli|peas|soy sauce|olive oil|garlic|honey|quinoa"
Beef & Vegetable Stew,"400g ground beef|3 carrots|3 potatoes|1 onion|3 cloves garlic|2 cups beef broth|1 can tomatoes|1 tsp thyme|salt|pepper","1. Brown beef in pot, drain. 2. Sauté onion, carrots, garlic 5 min. 3. Add potatoes, tomatoes, broth, thyme. 4. Simmer 25 min until vegetables tender.","ground beef|carrot|potato|onion|garlic|tomato"
Chickpea Curry,"2 cans chickpeas|1 can tomatoes|1 onion|3 cloves garlic|2 tbsp olive oil|2 tsp garam masala|1 tsp turmeric|1 can coconut milk|1 cup basmati rice","1. Sauté onion and garlic. 2. Add spices, cook 1 min. 3. Add tomatoes and coconut milk, simmer 10 min. 4. Add chickpeas, simmer 15 min. 5. Serve over rice.","chickpeas|tomato|onion|garlic|olive oil|white rice|coconut oil"
Tuna Avocado Salad,"2 cans tuna|2 avocados|1 cucumber|2 tomatoes|0.25 red onion|2 tbsp olive oil|1 lemon|salt|pepper","1. Drain tuna. 2. Dice avocados, cucumber, tomatoes, onion. 3. Combine all ingredients. 4. Dress with olive oil and lemon juice. 5. Season and serve.","tuna|avocado|cucumber|tomato|onion|olive oil|lemon"
Sweet Potato & Black Bean Burrito Bowl,"2 sweet potatoes|1 can black beans|1 cup white rice|1 avocado|1 cup corn|2 tbsp olive oil|1 tsp cumin|salsa|lime","1. Roast cubed sweet potatoes at 425F 25 min. 2. Cook rice and beans. 3. Assemble bowls with rice, beans, sweet potato, corn, avocado. 4. Top with salsa and lime.","sweet potato|black beans|white rice|avocado|corn|olive oil"
Turkey Meatballs with Pasta,"400g ground turkey|300g pasta|1 can tomatoes|1 onion|3 cloves garlic|2 tbsp olive oil|1 egg|breadcrumbs|parmesan|herbs","1. Mix turkey with egg, breadcrumbs, herbs, form meatballs. 2. Brown meatballs in oil. 3. Make tomato sauce with onion, garlic, tomatoes. 4. Simmer meatballs in sauce 20 min. 5. Serve over pasta.","ground turkey|pasta|tomato|onion|garlic|olive oil|eggs"
Vegetarian Chili,"2 cans kidney beans|1 can black beans|1 can tomatoes|1 onion|3 bell peppers|3 cloves garlic|2 tbsp olive oil|2 tsp chili powder|1 tsp cumin|corn","1. Sauté onion, peppers, garlic 5 min. 2. Add chili powder and cumin, cook 1 min. 3. Add beans, tomatoes, corn. 4. Simmer 25 min. 5. Adjust seasoning.","kidney beans|black beans|tomato|onion|bell pepper|garlic|olive oil|corn"
Salmon Fried Rice,"2 salmon fillets|2 cups white rice|2 eggs|1 cup peas|3 cloves garlic|3 tbsp soy sauce|2 tbsp olive oil|green onions|sesame oil","1. Cook and cool rice (day-old is best). 2. Cook salmon, flake. 3. Scramble eggs in hot wok. 4. Add rice, peas, garlic, soy sauce. 5. Add flaked salmon, toss.","salmon|white rice|eggs|peas|garlic|soy sauce|olive oil"
Protein Pancakes,"1 cup oats|4 egg whites|1 cup greek yogurt|1 banana|1 tsp baking powder|2 tbsp honey|coconut oil","1. Blend oats into flour. 2. Mix with egg whites, yogurt, banana, baking powder. 3. Cook pancakes in coconut oil 2 min per side. 4. Serve with honey.","oats|egg whites|greek yogurt|honey|coconut oil"
Chicken Fried Rice,"2 chicken breasts|2 cups white rice|3 eggs|1 cup peas|3 cloves garlic|3 tbsp soy sauce|2 tbsp olive oil|carrots|onion","1. Cook and cool rice. 2. Dice and cook chicken. 3. Scramble eggs in wok. 4. Add rice, peas, carrots, onion, garlic, soy sauce. 5. Add chicken, toss.","chicken breast|white rice|eggs|peas|garlic|soy sauce|olive oil|carrot|onion"
Beef Burrito Bowl,"300g ground beef|1 cup white rice|1 can black beans|1 cup corn|1 avocado|2 tbsp olive oil|1 tsp cumin|1 tsp chili powder|salsa","1. Cook rice and beans. 2. Brown beef with cumin and chili powder. 3. Assemble bowls with rice, beef, beans, corn, avocado. 4. Top with salsa.","ground beef|white rice|black beans|corn|avocado|olive oil"
Spinach & Mushroom Frittata,"6 eggs|2 cups spinach|1 cup mushrooms|0.5 onion|100g mozzarella|2 tbsp olive oil|salt|pepper","1. Preheat oven 375F. 2. Sauté onion and mushrooms in oven-safe skillet. 3. Add spinach, wilt. 4. Pour beaten eggs over. 5. Top with mozzarella. 6. Bake 15 min.","eggs|spinach|mushrooms|onion|mozzarella|olive oil"
Peanut Noodles with Tofu,"300g firm tofu|300g noodles|3 tbsp peanut butter|3 tbsp soy sauce|2 tbsp honey|2 cloves garlic|1 tbsp sesame oil|carrots|cucumber","1. Cook noodles. 2. Pan-fry tofu until golden. 3. Whisk peanut butter, soy sauce, honey, garlic, sesame oil. 4. Toss noodles with sauce. 5. Top with tofu, julienned carrots and cucumber.","tofu|pasta|peanut butter|soy sauce|honey|garlic|carrot|cucumber"
Grilled Chicken Salad,"2 chicken breasts|4 cups mixed greens|1 cucumber|2 tomatoes|0.5 red onion|1 avocado|2 tbsp olive oil|1 lemon|salt|pepper","1. Season and grill chicken 6 min per side. 2. Chop vegetables. 3. Slice chicken. 4. Assemble salad with all vegetables. 5. Dress with olive oil and lemon.","chicken breast|cucumber|tomato|onion|avocado|olive oil|lemon"
Coconut Lentil Soup,"1 cup red lentils|1 can coconut milk|1 can tomatoes|1 onion|3 cloves garlic|2 tsp curry powder|2 tbsp olive oil|spinach|salt|pepper","1. Sauté onion and garlic 5 min. 2. Add curry powder, cook 1 min. 3. Add lentils, tomatoes, coconut milk, 2 cups water. 4. Simmer 20 min. 5. Stir in spinach.","lentils|coconut oil|tomato|onion|garlic|olive oil|spinach"
Chicken & Sweet Potato Curry,"2 chicken breasts|2 sweet potatoes|1 can coconut milk|1 onion|3 cloves garlic|2 tsp curry powder|2 tbsp olive oil|spinach|1 cup white rice","1. Cook rice. 2. Brown chicken in oil. 3. Sauté onion and garlic. 4. Add curry powder, sweet potatoes, coconut milk. 5. Simmer 20 min. 6. Add spinach, serve over rice.","chicken breast|sweet potato|coconut oil|onion|garlic|olive oil|spinach|white rice"
Tuna Noodle Casserole,"2 cans tuna|300g pasta|1 can mushroom soup|1 cup peas|0.5 onion|100g cheddar cheese|2 tbsp butter|breadcrumbs","1. Cook pasta. 2. Sauté onion in butter. 3. Mix tuna, pasta, mushroom soup, peas, onion. 4. Transfer to baking dish. 5. Top with cheese and breadcrumbs. 6. Bake 25 min at 375F.","tuna|pasta|peas|onion|cheddar cheese|butter"
Veggie Buddha Bowl,"1 cup quinoa|2 cups kale|1 can chickpeas|1 sweet potato|1 avocado|2 tbsp tahini|1 lemon|2 tbsp olive oil|salt|pepper","1. Roast chickpeas and sweet potato cubes at 400F 25 min. 2. Cook quinoa. 3. Massage kale with olive oil. 4. Assemble bowl. 5. Drizzle with tahini-lemon dressing.","quinoa|kale|chickpeas|sweet potato|avocado|olive oil|lemon"
Shrimp Tacos,"400g shrimp|8 corn tortillas|2 cups cabbage|1 avocado|2 limes|2 tbsp olive oil|1 tsp cumin|1 tsp chili powder|cilantro|sour cream","1. Season shrimp with cumin, chili powder, salt. 2. Cook shrimp in oil 2-3 min per side. 3. Warm tortillas. 4. Assemble tacos with shrimp, cabbage, avocado, cilantro.","shrimp|corn|avocado|olive oil|lemon"
Ground Turkey Stuffed Peppers,"300g ground turkey|4 bell peppers|1 cup white rice|1 can tomatoes|1 onion|2 cloves garlic|1 cup mozzarella|2 tbsp olive oil","1. Cook rice. 2. Brown turkey with onion and garlic. 3. Mix turkey, rice, tomatoes. 4. Cut tops off peppers, fill with mixture. 5. Top with mozzarella. 6. Bake 30 min at 375F.","ground turkey|bell pepper|white rice|tomato|onion|garlic|mozzarella|olive oil"
Tofu Scramble,"400g firm tofu|2 cups spinach|0.5 onion|1 bell pepper|1 cup mushrooms|2 tbsp soy sauce|1 tbsp olive oil|turmeric|nutritional yeast","1. Crumble tofu. 2. Sauté onion, pepper, mushrooms 5 min. 3. Add crumbled tofu, turmeric, soy sauce, nutritional yeast. 4. Cook 5 min. 5. Add spinach, wilt.","tofu|spinach|onion|bell pepper|mushrooms|soy sauce|olive oil"
Egg & Vegetable Breakfast Burrito,"4 eggs|2 whole wheat tortillas|0.5 bell pepper|0.5 onion|0.5 cup black beans|1 avocado|1 tbsp olive oil|salsa|salt|pepper","1. Scramble eggs with salt and pepper. 2. Sauté pepper and onion. 3. Warm beans. 4. Assemble burritos with eggs, vegetables, beans, avocado, salsa.","eggs|whole wheat bread|bell pepper|onion|black beans|avocado|olive oil"
Baked Chicken Thighs with Roasted Vegetables,"4 chicken thighs|2 zucchini|1 bell pepper|1 onion|3 cloves garlic|3 tbsp olive oil|1 tsp paprika|1 tsp oregano|salt|pepper","1. Preheat oven 425F. 2. Toss vegetables with olive oil, salt, pepper. 3. Season chicken with paprika, oregano. 4. Roast chicken and vegetables together 35-40 min.","chicken thigh|zucchini|bell pepper|onion|garlic|olive oil"
Almond Butter Smoothie Bowl,"1 cup greek yogurt|1 banana|2 tbsp almond butter|1 cup almond milk|1 tbsp honey|granola|berries","1. Blend yogurt, banana, almond butter, almond milk until smooth. 2. Pour into bowl. 3. Top with granola, berries, and drizzle of honey.","greek yogurt|almond milk|almonds|honey"
Spaghetti Bolognese,"400g ground beef|300g pasta|1 can tomatoes|1 onion|3 cloves garlic|3 tbsp olive oil|1 carrot|1 celery stalk|parmesan|herbs","1. Sauté onion, carrot, celery 8 min. 2. Add garlic, cook 1 min. 3. Brown beef. 4. Add tomatoes and herbs, simmer 30 min. 5. Cook pasta. 6. Serve with parmesan.","ground beef|pasta|tomato|onion|garlic|olive oil|carrot|celery"
Zucchini Noodles with Pesto Chicken,"2 chicken breasts|4 zucchini|3 tbsp pesto|2 tbsp olive oil|1 cup cherry tomatoes|parmesan|salt|pepper","1. Spiralize zucchini into noodles. 2. Season and grill chicken. 3. Sauté zucchini noodles in olive oil 2-3 min. 4. Slice chicken. 5. Toss noodles with pesto, top with chicken and tomatoes.","chicken breast|zucchini|tomato|olive oil"
Mushroom & Spinach Brown Rice Bowl,"2 cups brown rice|2 cups mushrooms|3 cups spinach|3 cloves garlic|2 tbsp soy sauce|2 tbsp olive oil|2 eggs|sesame seeds","1. Cook rice. 2. Sauté garlic and mushrooms in oil 6 min. 3. Add spinach, wilt. 4. Add soy sauce. 5. Fry eggs. 6. Serve over rice with fried egg on top.","brown rice|mushrooms|spinach|garlic|soy sauce|olive oil|eggs"
Chicken & Kale Caesar Wrap,"2 chicken breasts|4 whole wheat tortillas|2 cups kale|100g parmesan|caesar dressing|2 tbsp olive oil|salt|pepper","1. Grill seasoned chicken. 2. Massage kale with olive oil until tender. 3. Toss kale with dressing and parmesan. 4. Slice chicken. 5. Assemble wraps.","chicken breast|kale|whole wheat bread|olive oil"
Spicy Tuna Rice Bowl,"2 cans tuna|1 cup white rice|1 cucumber|1 avocado|3 tbsp soy sauce|1 tbsp sesame oil|sriracha|green onions","1. Cook rice. 2. Mix tuna with soy sauce, sesame oil, sriracha. 3. Dice cucumber and avocado. 4. Assemble bowls with rice, spicy tuna, cucumber, avocado. 5. Top with green onions.","tuna|white rice|cucumber|avocado|soy sauce"
Vegetable Frittata,"6 eggs|1 zucchini|1 bell pepper|0.5 onion|100g feta|2 tbsp olive oil|salt|pepper|fresh herbs","1. Preheat oven 375F. 2. Sauté onion, zucchini, pepper in oven-safe skillet 5 min. 3. Whisk eggs, season. 4. Pour over vegetables. 5. Crumble feta on top. 6. Bake 15-20 min.","eggs|zucchini|bell pepper|onion|olive oil"
Beef & Broccoli Stir Fry,"400g ground beef|3 cups broccoli|3 cloves garlic|3 tbsp soy sauce|2 tbsp olive oil|1 tsp sesame oil|1 tbsp honey|1 cup white rice","1. Cook rice. 2. Cook beef in skillet, drain. 3. Sauté garlic and broccoli in olive oil 4 min. 4. Add beef, soy sauce, honey, sesame oil. 5. Toss and serve over rice.","ground beef|broccoli|garlic|soy sauce|olive oil|honey|white rice"
Caprese Chicken,"2 chicken breasts|2 tomatoes|100g mozzarella|fresh basil|3 tbsp olive oil|2 tbsp balsamic vinegar|salt|pepper","1. Season and pan-sear chicken 6 min per side. 2. Slice tomatoes and mozzarella. 3. Top chicken with tomato, mozzarella, basil. 4. Drizzle with olive oil and balsamic.","chicken breast|tomato|mozzarella|olive oil"
Walnut & Kale Salad,"3 cups kale|0.5 cup walnuts|1 apple|100g feta|0.25 red onion|3 tbsp olive oil|2 tbsp lemon juice|1 tsp honey|salt|pepper","1. Massage kale with olive oil until tender. 2. Add sliced apple, walnuts, crumbled feta, onion. 3. Whisk lemon juice and honey for dressing. 4. Toss and season.","kale|walnuts|onion|olive oil|lemon|honey"
Shrimp & Avocado Salad,"400g shrimp|2 avocados|2 tomatoes|1 cucumber|0.5 red onion|2 tbsp olive oil|1 lemon|cilantro|salt|pepper","1. Cook shrimp in olive oil 2-3 min per side. 2. Dice avocado, tomatoes, cucumber, onion. 3. Combine all ingredients. 4. Dress with olive oil, lemon juice, cilantro.","shrimp|avocado|tomato|cucumber|onion|olive oil|lemon"
Oatmeal with Almond Butter,"1.5 cups oats|2 cups almond milk|2 tbsp almond butter|1 banana|1 tbsp honey|cinnamon|chia seeds","1. Bring almond milk to simmer. 2. Add oats, cook 5 min stirring. 3. Remove from heat. 4. Top with almond butter, sliced banana, honey, cinnamon, chia seeds.","oats|almond milk|almonds|honey"
